Name, Country, Age, Death_year, Death_cause
Despot_Badžović, Ghana, 54, 1930, Unknown
Devere_Allen, United States, 64, 1955, Unknown
Dhabihu'llah_Mahrami, Iran, 59, 2005, Unknown
Dhananjay_Mahato, India, 95, 2014, Unknown
Dhani_Prem, India, 75, 1979, Unknown
Diana_Collins, United Kingdom, 86, 2003, Unknown
Diana_Merriweather_Ashby, United States, 34, 1997, Unknown
Dinkar_Pandya, India, 91, 1987, Unknown
Dionicio_Morales, United States, 90, 2008, Unknown
Dirk_Boonstra_(born_1920), Netherlands, 24, 1944, Unknown
Doddamane_Mahadevi_Hegde, India, 100, 2006, Unknown
Dolores_Alexander, Unknwon, 77, 2008, Unknown
Dolores_Cacuango, Ecuador, 90, 1971, Unknown
Domenica_Niehoff, Germany, 64, 2009, Unknown
Don_Whiteside, Unknwon, 62, 1993, Unknown
Donald_Gaines_Murray, United States, 72, 1986, Unknown
Doria_Shafik, Egypt, 67, 1975, Unknown
Dorian_%22Doc%22_Paskowitz, United States, 93, 2014, Unknown
Doris_Fleischman, Unknwon, 89, 1980, Unknown
Doris_Irene_Taylor, Australia, 67, 1968, Unknown
Doris_McRae, Australia, 95, 1988, Unknown
Doris_Palmer, Unknwon, 95, 1993, Unknown
Dorothea_Palmer, Canada, 84, 1992, Unknown
Dorothy_Buxton, United Kingdom, 82, 1963, Unknown
Dorothy_Detzer, United States, 88, 1981, Unknown
Dorothy_Dinnerstein, Unknwon, 69, 1992, Unknown
Dorothy_Green_(environmentalist), United States, 79, 2008, Unknown
Dorothy_Hennessey, United States, 95, 2008, Unknown
Dorothy_Mae_Richardson, United States, 68, 1991, Unknown
Dorothy_Mae_Taylor, Unknwon, 72, 2000, Unknown
Dorothy_Pizer, United Kingdom, 58, 1964, Unknown
Dorothy_Rogers_Tilly, United States, 87, 1970, Unknown
Dorothy_Ross, Australia, 70, 1998, Unknown
Dottie_Thompson, Unknwon, 89, 2010, Unknown
Douglas_Mason, United Kingdom, 63, 2004, Unknown
Douschka_Pickens, United Kingdom, 63, 1893, Unknown
Dov_Gruner, Hungary, 35, 1947, Unknown
Drake_Edens, United States, 57, 1982, Unknown
Dudley_Laws, Canada, 77, 2011, Unknown
Dusty_Ellis, Unknwon, 59, 2012, Unknown
Duško_Kondor, Bosnia and Herzegovina, 60, 2007, Unknown
Dwight_Armstrong, United States, 59, 2010, Unknown
Dyal_Singh_Majithia, United States, 59, 1898, Unknown
Dyer_Lum, United States, 59, 1893, Unknown
D'Army_Bailey, United States, 74, 2015, Unknown
Dada_Amir_Haider_Khan, India, 82, 1986, Unknown
